省份,城市,City,规模以上工业资产总计_全市,规模以上工业资产总计_市辖区,规模以上工业利润总额_全市,规模以上工业利润总额_市辖区
福建省,  厦门市, Xiamen,98265353,98265353,4526399,4526399
福建省,  莆田市, Putian,24593373,21159196,1599652,1215466
福建省,  三明市, Sanming,18352357,8797235,514984,184748
福建省,  泉州市, Quanzhou,99758911,15914656,8673056,881751
福建省,  漳州市, Zhangzhou,49310598,25766625,3770636,2429487
福建省,  南平市, Nanping,13777627,4372953,383370,198305
福建省,  龙岩市, Longyan,34958964,11796687,4130391,673285
福建省,  宁德市, Ningde,84054072,59055401,6213973,5105781
江西省,  南昌市, Nanchang,71426693,57036234,1994400,1441112
江西省,  景德镇市, Jingdezhen,13456993,5520719,464556,169288
江西省,  萍乡市, Pingxiang,10662733,6608663,570535,328344
江西省,  九江市, Jiujiang,41702540,13310368,2592708,929479
江西省,  新余市, Xinyu,20517540,18398029,788901,548161
江西省,  鹰潭市, Yingtan,23743824,9369081,1661037,567185
江西省,  赣州市, Ganzhou,51164010,24271245,2420537,678068
江西省,  吉安市, Ji'an,26707626,2663996,3013931,333752
江西省,  宜春市, Yichun,40924546,9139133,818963,464962
江西省,  抚州市, Fuzhou,19957008,11896932,1579358,890855
江西省,  上饶市, Shangrao,40850597,22860743,2499308,1180171
山东省,  济南市, Jinan,110562021,102437002,4197111,3887098
山东省,  青岛市,Qingdao,153797421,119523036,6130721,4785546
山东省,  淄博市, Zibo,67154526,48382333,2939392,1590383
山东省,  枣庄市, Zaozhuang,28459846,17558413,780387,506729
山东省,  东营市, Dongying,98765796,66246212,3863304,2959979
山东省,  烟台市, Yantai,131916888,76233914,7217461,4886665
山东省,  潍坊市, Weifang,124873419,46199214,4812434,2130115
山东省,  济宁市, Jining,78942851,29369644,4104200,1391600
山东省,  泰安市, Tai'an,45704608,18300317,1570088,806214
山东省,  威海市, Weihai,42707134,31872210,1951643,1440852
山东省,  日照市, Rizhao,46689855,36198245,711640,615713
山东省,  临沂市, Linyi,69747193,24845284,2392577,314703
山东省,  德州市, Dezhou,44715913,15470294,2365727,1198873
山东省,  聊城市, Liaocheng,46017469,27871812,2391792,1520481
山东省,  滨州市, Binzhou,103675544,16762528,3754746,835962
山东省,  菏泽市, Heze,43189394,9297302,5628451,1725949
河南省,  郑州市, Zhengzhou,119908931,55167514,4390620,2497835
河南省,  开封市, Kaifeng,18761253,12332931,538432,192573
河南省,  洛阳市, Luoyang,65271174,31659528,2743622,598461
河南省,  平顶山市, Pingdingshan,49848891,21959189,896157,762380
河南省,  安阳市, Anyang,27641981,15970901,56008,-179268
